# File: L102.load_segments.csv
# Title: Defines the relative shape of each load segment by grid_region based on FERC hourly data
# Units: %
# Source: preprocessed FERC hourly data
# Column types: ccinn
# ----------
grid_region,segment,hours,generation.fraction,relative.generation
Central Southwest grid,Apr_night,330,0.028745947,0.434053345
Central Southwest grid,Aug_day,397,0.062323657,0.782245108
Central Southwest grid,Aug_night,337,0.044736511,0.6614738
Central Southwest grid,Dec_day,279,0.031714979,0.566422703
Central Southwest grid,Dec_night,465,0.05227441,0.560165843
Central Southwest grid,Feb_day,308,0.036062153,0.58342008
Central Southwest grid,Feb_night,364,0.041153671,0.5633621
Central Southwest grid,Jan_day,303,0.035940449,0.591046026
Central Southwest grid,Jan_night,441,0.051481023,0.581686533
Central Southwest grid,Jul_day,465,0.067813492,0.726680641
Central Southwest grid,Jul_night,279,0.034229433,0.61133032
Central Southwest grid,Jun_day,450,0.064065827,0.709405177
Central Southwest grid,Jun_night,270,0.032161464,0.593543393
Central Southwest grid,Mar_day,369,0.037892841,0.511695076
Central Southwest grid,Mar_night,375,0.035903984,0.477080658
Central Southwest grid,May_day,445,0.048989052,0.548554094
Central Southwest grid,May_night,299,0.028128865,0.468771777
Central Southwest grid,Nov_day,314,0.031972841,0.507378442
Central Southwest grid,Nov_night,406,0.039113803,0.480047761
Central Southwest grid,Oct_day,341,0.034700459,0.507062248
Central Southwest grid,Oct_night,403,0.03629327,0.44874693
Central Southwest grid,Sep_day,382,0.048263412,0.629557049
Central Southwest grid,Sep_night,338,0.035729514,0.526733375
Central Southwest grid,superpeak,10,0.002006872,1
New York grid,Apr_day,392,0.041871708,0.522712641
New York grid,Apr_night,328,0.029338133,0.437710563
New York grid,Aug_day,431,0.060218964,0.683729635
New York grid,Aug_night,313,0.035882509,0.561005162
New York grid,Dec_day,279,0.034563966,0.606244426
New York grid,Dec_night,465,0.052095053,0.548241527
New York grid,Feb_day,304,0.036969485,0.595111327
New York grid,Feb_night,368,0.0394696,0.524859794
New York grid,Jan_day,279,0.034518118,0.605440268
New York grid,Jan_night,465,0.05183932,0.545550219
New York grid,Jul_day,455,0.067989302,0.73123603
New York grid,Jul_night,279,0.034929166,0.612649955
New York grid,Jun_day,450,0.059818423,0.650505301
New York grid,Jun_night,270,0.02918763,0.529009493
New York grid,Mar_day,369,0.041624091,0.552009805
New York grid,Mar_night,375,0.036375194,0.474681653
New York grid,May_day,465,0.052391937,0.551365893
New York grid,May_night,279,0.026027972,0.456524959
New York grid,Nov_day,286,0.032329667,0.553176336
New York grid,Nov_night,434,0.042914252,0.483882832
New York grid,Oct_day,341,0.037504427,0.538215928
New York grid,Oct_night,403,0.037566835,0.456171293
New York grid,Sep_day,382,0.047707391,0.611154061
New York grid,Sep_night,338,0.034823369,0.504176359
New York grid,superpeak,10,0.002043486,1
