# File: NCAR_SSP_pop_state.csv
# Title: State-level Population Projections for US States under SSP scenarios
# Units: persons
# Source: DATASET: Jiang et al. (2020). Population scenarios for U.S. states consistent with Shared Socioeconomic Pathways (v0.1.0) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.3956412; PUBLICATION: Jiang et al. 2020. Population scenarios for U.S. states consistent with Shared Socioeconomic Pathways. Environmental Research Letters. https://doi.org/10.1088/1748-9326/aba5b1
# Column types: ciiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii
# ----------
State,SSP,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,State_FIPS
Minnesota,3,5307340,5345465,5382356,5418163,5452460,5486171,5518434,5547943,5575600,5601262,5624835,5646220,5665966,5684011,5700384,5715081,5728024,5739570,5749759,5758596,5766211,5772511,5777440,5781141,5783569,5784698,5784233,5782424,5779232,5774678,5768798,5761588,5753125,5743433,5732356,5720283,5707395,5694033,5679150,5663574,5647911,5631531,5614820,5597635,5580024,5562395,5544338,5526099,5507663,5488728,5469606,5449863,5429959,5409866,5389598,5369033,5348167,5327400,5306367,5284853,5262608,5239202,5215126,5191313,5167340,5142927,5117130,5091090,5064233,5036370,5007927,4978094,4948071,4917559,4886588,4855592,4824095,4792871,4761272,4729244,4696648,4663487,4630112,4596507,4562909,4529437,4496009,4462110,4427378,4391883,4355548,27000
Minnesota,5,5307340,5346332,5383608,5420274,5455765,5490999,5525029,5558090,5592917,5629351,5667352,5706782,5747315,5788874,5831528,5875345,5920250,5965491,6011202,6057455,6104558,6152304,6200671,6250009,6300303,6351463,6402938,6454966,6507383,6560280,6613661,6667545,6721763,6776335,6830855,6886310,6942938,7000394,7055609,7110868,7167539,7223948,7281014,7338123,7395436,7453679,7511870,7570923,7630822,7690907,7752019,7813153,7875659,7939614,8005027,8071731,8139814,8210264,8282251,8355328,8428957,8502007,8575485,8651276,8728488,8806516,8883127,8960480,9037299,9113100,9188756,9262225,9336176,9410036,9483654,9558006,9631830,9706322,9780694,9854690,9927955,10000409,10072934,10146016,10219813,10294455,10369891,10446254,10522832,10599609,10676479,27000
Mississippi,2,2968220,2985816,3002612,3019118,3035103,3051090,3066491,3081105,3095863,3110689,3125569,3140397,3155239,3169960,3184683,3199331,3213915,3228379,3242579,3256652,3270664,3284502,3298224,3311761,3325166,3338344,3351227,3363658,3376013,3388021,3399922,3411700,3423403,3434951,3446341,3457745,3469265,3480889,3491603,3502375,3513513,3524480,3535533,3546529,3557689,3568592,3579331,3590227,3601118,3611924,3622911,3633573,3644470,3655608,3666636,3677731,3688862,3700548,3712319,3724008,3735668,3746791,3757717,3768984,3780489,3792123,3803400,3814662,3825802,3836510,3847014,3856958,3866626,3876497,3886278,3896079,3905478,3914907,3924229,3933212,3941697,3949703,3957462,3965625,3973864,3982296,3990851,3999390,4007526,4015208,4022362,28000
Mississippi,3,2968220,2985539,3002088,3018109,3033385,3048477,3062789,3075627,3087420,3098069,3107561,3115816,3123178,3129521,3134964,3139454,3142960,3145832,3147985,3149491,3150407,3150666,3150352,3149406,3147843,3145613,3142637,3138935,3134731,3129866,3124488,3118607,3112259,3105395,3098039,3090257,3082112,3073791,3064789,3055608,3046426,3036947,3027349,3017562,3007727,2997600,2987256,2976773,2966050,2955051,2943900,2932307,2920558,2908645,2896354,2883769,2870888,2857988,2844797,2831217,2817302,2802761,2787771,2772639,2757322,2741790,2725782,2709496,2692905,2675846,2658451,2640566,2622331,2604064,2585602,2566996,2548027,2528951,2509690,2490112,2470139,2449792,2429201,2408744,2388222,2367715,2347172,2326490,2305453,2284043,2262225,28000
Mississippi,5,2968220,2986043,3003001,3019823,3036252,3052806,3068872,3084786,3101945,3120282,3139803,3160401,3181824,3203923,3226866,3250572,3275026,3299980,3325236,3350971,3377286,3404080,3431519,3459470,3488048,3517181,3546799,3576557,3606993,3637737,3669121,3701102,3733702,3766823,3800453,3834846,3870131,3906008,3941059,3976597,4013024,4049620,4086735,4124145,4162116,4200161,4238341,4277090,4316233,4355678,4395786,4435925,4476854,4518614,4560795,4603568,4646934,4691599,4736962,4782792,4829117,4875199,4921411,4968403,5016059,5064254,5112257,5160518,5208798,5256730,5304665,5351888,5399100,5446701,5494319,5542256,5589910,5637614,5685343,5732778,5779761,5826249,5872578,5919454,5966558,6014017,6061767,6110055,6158459,6206923,6255387,28000
Missouri,2,5990920,6042814,6092843,6142071,6189937,6237438,6283381,6327624,6372208,6416903,6461714,6506501,6551204,6595795,6640280,6684621,6728763,6772707,6816394,6859790,6902902,6945546,6987743,7029474,7070759,7111764,7152207,7192016,7231382,7270005,7308056,7345591,7382768,7419225,7455007,7490793,7526797,7563131,7596866,7630790,7665056,7699119,7733312,7766704,7799892,7833131,7865646,7898386,7931032,7963453,7996008,8028095,8060407,8093019,8125995,8159097,8192238,8226811,8261503,8296339,8330796,8363730,8396420,8429683,8463332,8497713,8530844,8563850,8595908,8627067,8657642,8686022,8714487,8742703,8769962,8797529,8824256,8850447,8876681,8902264,8926924,8950252,8972992,8996480,9020199,9044405,9068764,9092848,9116058,9137948,9158747,29000
Missouri,3,5990920,6042212,6091669,6139760,6185973,6231345,6274731,6314717,6352311,6387290,6419626,6449186,6476735,6502194,6525583,6546874,6566021,6583738,6599950,6614654,6627830,6639363,6649330,6657699,6664511,6669871,6673592,6675910,6676945,6676530,6674728,6671564,6667187,6661425,6654296,6646188,6637187,6627764,6616498,6604799,6592796,6580203,6567316,6553601,6539448,6524989,6509825,6494212,6478017,6461117,6443674,6425366,6406470,6387012,6366973,6346237,6324717,6303151,6280824,6257753,6233667,6207953,6181267,6154049,6126300,6098196,6068696,6038457,6007074,5974639,5941336,5906414,5871064,5835131,5798279,5761205,5723331,5684802,5645984,5606482,5566173,5524850,5482861,5441010,5399005,5356986,5314765,5271972,5228312,5183524,5137807,29000
Missouri,5,5990920,6043312,6093997,6144548,6194272,6244109,6292806,6341578,6393400,6448038,6505511,6565659,6627559,6691189,6756580,6823672,6892389,6962353,7033490,7105700,7179047,7253301,7328606,7404836,7482070,7560547,7639870,7719524,7799896,7880611,7961917,8043896,8126701,8209902,8293485,8378484,8465190,8553155,8638203,8724234,8811544,8899302,8987972,9076294,9164996,9254423,9343543,9433661,9524366,9615518,9707705,9800055,9893791,9988965,10085617,10183455,10282456,10384538,10488034,10592790,10698153,10802507,10907289,11013776,11121698,11231219,11339623,11448540,11556642,11663882,11770936,11875288,11980222,12085281,12189610,12294788,12399110,12502923,12606873,12710076,12812171,12912705,13012764,13113971,13215768,13318432,13421678,13526017,13630607,13735150,13839668,29000
Montana,2,990500,998608,1006484,1014296,1021881,1029418,1036781,1043897,1051025,1058142,1065277,1072434,1079611,1086780,1093986,1101209,1108450,1115678,1122845,1129979,1137089,1144100,1151070,1158013,1164900,1171748,1178543,1185239,1191862,1198398,1204868,1211265,1217618,1223878,1230040,1236222,1242472,1248762,1254663,1260557,1266442,1272419,1278395,1284321,1290185,1296098,1301939,1307830,1313784,1319725,1325809,1331779,1337778,1343933,1350079,1356252,1362578,1369125,1375732,1382321,1388828,1395099,1401210,1407611,1414013,1420453,1426573,1432648,1438544,1444244,1449933,1455213,1460515,1465626,1470690,1475703,1480594,1485488,1490291,1494998,1499558,1503899,1508237,1512650,1517053,1521494,1526024,1530447,1534742,1538823,1542716,30000
Montana,3,990500,998514,1006288,1013888,1021162,1028298,1035177,1041586,1047625,1053268,1058540,1063446,1068062,1072359,1076373,1080087,1083486,1086655,1089568,1092250,1094695,1096850,1098767,1100450,1101881,1103068,1103999,1104679,1105126,1105331,1105309,1105043,1104579,1103891,1102985,1101925,1100741,1099493,1097949,1096317,1094600,1092854,1091039,1089140,1087140,1085107,1082965,1080757,1078490,1076115,1073714,1071133,1068444,1065714,1062843,1059844,1056787,1053711,1050522,1047171,1043629,1039817,1035758,1031715,1027529,1023224,1018607,1013848,1008879,1003700,998427,992849,987205,981371,975445,969423,963275,957074,950753,944328,937770,931041,924269,917492,910656,903794,896942,889954,882839,875540,868087,30000
Montana,5,990500,998689,1006754,1014949,1023084,1031345,1039593,1047906,1056675,1065880,1075559,1085733,1096298,1107218,1118562,1130309,1142453,1154895,1167587,1180554,1193816,1207286,1221034,1235077,1249391,1264009,1278920,1293928,1309069,1324331,1339743,1355278,1370956,1386720,1402549,1418613,1434952,1451446,1467471,1483557,1499745,1516127,1532620,1549137,1565663,1582324,1598971,1615768,1632741,1649812,1667172,1684502,1702037,1719889,1737895,1756088,1774586,1793550,1812756,1832109,1851534,1870799,1890055,1909803,1929735,1949846,1969691,1989582,2009320,2028858,2048419,2067483,2086641,2105692,2124686,2143745,2162664,2181581,2200472,2219252,2237843,2256153,2274439,2292859,2311338,2329927,2348637,2367484,2386350,2405192,2424007,30000
Nebraska,2,1823410,1841995,1860169,1878240,1895979,1913674,1930955,1947615,1964394,1981281,1998282,2015385,2032596,2049939,2067404,2084896,2102399,2119830,2137303,2154804,2172220,2189670,2207055,2224461,2241782,2258996,2276007,2292860,2309561,2326075,2342350,2358485,2374581,2390440,2406116,2421691,2437193,2452729,2467610,2482413,2497290,2511963,2526738,2541270,2555892,2570451,2585041,2599706,2614500,2629240,2643907,2658355,2673028,2687779,2702699,2717582,2732634,2747917,2763352,2778662,2793736,2808283,2822798,2837466,2852242,2866930,2881191,2895474,2909433,2923046,2936595,2949406,2962100,2974694,2987024,2999519,3011660,3023874,3035902,3047832,3059366,3070640,3081750,3092949,3104325,3115682,3127175,3138489,3149437,3160021,3170238,31000
Nebraska,3,1823410,1841807,1859819,1877547,1894800,1911879,1928445,1944007,1958901,1973130,1986677,1999541,2011884,2023711,2035013,2045708,2055766,2065386,2074647,2083537,2091992,2100073,2107739,2115045,2121913,2128328,2134229,2139672,2144664,2149168,2153155,2156677,2159801,2162435,2164604,2166338,2167662,2168811,2169420,2169808,2170054,2170023,2169898,2169504,2169024,2168385,2167638,2166761,2165777,2164580,2163149,2161405,2159562,2157527,2155331,2152874,2150243,2147465,2144518,2141230,2137544,2133320,2128825,2124156,2119297,2114154,2108556,2102783,2096650,2090153,2083465,2076225,2068785,2061171,2053295,2045395,2037183,2028920,2020434,2011803,2002844,1993652,1984265,1974825,1965403,1955860,1946311,1936496,1926325,1915807,1904952,31000
Nebraska,5,1823410,1842154,1860475,1878833,1896973,1915159,1933014,1950628,1969092,1988403,2008573,2029609,2051321,2073739,2096870,2120598,2144898,2169541,2194655,2220220,2246074,2272341,2298918,2325906,2353156,2380653,2408271,2436030,2463945,2491995,2520160,2548561,2577302,2606146,2635167,2664508,2694222,2724230,2753598,2783107,2812966,2842815,2873022,2903163,2933635,2964281,2995168,3026427,3058107,3089981,3122095,3154212,3186903,3220051,3253726,3287742,3322322,3357643,3393518,3429626,3465821,3501691,3537739,3574268,3611178,3648263,3685018,3722004,3758759,3795242,3831752,3867443,3903167,3938893,3974451,4010286,4045859,4081540,4117166,4152693,4187879,4222769,4257575,4292652,4328006,4363536,4399332,4435418,4471550,4507730,4543952,31000
Nevada,2,2703320,2741620,2778652,2814938,2850231,2884963,2918608,2951079,2983292,3015239,3046879,3078175,3109076,3139602,3169724,3199436,3228824,3257789,3286314,3314321,3341908,3368865,3395353,3421261,3446641,3471414,3495594,3519133,3542016,3564317,3586032,3607132,3627871,3648128,3667719,3687162,3706282,3725280,3743145,3760784,3778621,3796087,3813588,3830785,3847782,3864524,3880781,3897018,3912976,3928768,3944502,3959706,3974988,3990109,4005010,4019755,4034190,4048866,4063650,4078137,4092310,4105578,4118765,4132431,4146105,4159888,4173255,4186614,4199449,4211885,4224121,4235324,4246626,4257710,4268451,4279350,4289778,4300132,4310481,4320543,4330128,4339117,4348070,4357177,4366338,4375664,4385144,4394442,4403393,4411861,4419690,32000
Nevada,3,2703320,2741434,2778222,2813997,2848531,2882264,2914685,2945122,2973984,3001285,3026966,3050990,3073657,3094971,3114920,3133491,3150757,3166983,3182142,3196188,3209186,3221003,3231761,3241404,3249959,3257390,3263708,3268999,3273285,3276610,3278991,3280421,3281056,3280840,3279678,3277870,3275279,3272200,3268136,3263576,3258750,3253346,3247650,3241473,3234902,3227916,3220414,3212549,3204184,3195367,3186186,3176350,3166190,3155534,3144340,3132668,3120419,3107894,3095028,3081615,3067642,3052786,3037492,3022097,3006334,2990299,2973735,2956864,2939404,2921484,2903213,2884177,2864974,2845441,2825523,2805526,2785100,2764474,2743696,2722616,2701110,2679139,2657021,2634844,2612563,2590232,2567848,2545149,2522084,2498572,2474531,32000
Nevada,5,2703320,2741789,2779472,2817033,2854214,2891408,2928059,2964663,3002510,3041598,3081855,3123226,3165228,3207834,3250993,3294674,3338983,3383592,3428444,3473437,3518687,3563921,3609391,3654958,3700645,3746339,3792006,3837193,3881904,3926256,3970335,4014140,4057907,4101542,4144851,4188543,4232420,4276489,4319404,4362429,4406041,4449572,4493486,4537381,4581336,4625328,4669034,4712981,4756953,4800977,4845394,4889518,4934198,4979258,5024524,5070074,5115770,5162396,5209632,5257071,5304648,5351544,5398734,5446908,5495576,5544685,5593366,5642299,5690867,5739048,5787259,5834266,5881654,5929083,5976318,6023955,6071161,6118306,6165504,6212349,6258725,6304475,6350217,6396366,6442794,6489625,6536873,6584704,6632805,6681077,6729360,32000
New Hampshire,2,1315280,1324599,1333420,1341995,1350211,1358349,1366099,1373455,1380798,1388056,1395190,1402223,1409114,1415836,1422472,1428964,1435265,1441384,1447227,1452864,1458333,1463528,1468467,1473202,1477690,1481928,1486001,1489870,1493609,1497130,1500498,1503676,1506750,1509575,1512186,1514727,1517326,1519890,1521832,1523682,1525725,1527695,1529752,1531687,1533584,1535416,1537059,1538879,1540569,1542305,1544184,1545903,1547741,1549827,1551964,1554236,1556517,1559170,1561980,1564939,1567955,1570738,1573436,1576491,1579841,1583308,1586571,1589847,1593093,1596099,1599013,1601449,1603919,1606233,1608366,1610566,1612492,1614303,1616023,1617494,1618649,1619648,1620409,1621416,1622588,1623972,1625316,1626731,1628044,1629201,1630179,33000
New Hampshire,3,1315280,1324488,1333205,1341555,1349455,1357187,1364445,1371051,1377174,1382745,1387721,1392117,1396007,1399376,1402285,1404685,1406529,1407950,1408886,1409381,1409457,1409034,1408135,1406793,1404987,1402720,1400044,1396989,1393597,1389842,1385764,1381347,1376676,1371681,1366404,1360918,1355309,1349616,1343530,1337356,1331230,1325036,1318854,1312596,1306313,1299995,1293574,1287225,1280773,1274314,1267898,1261350,1254813,1248347,1241829,1235314,1228711,1222218,1215717,1209187,1202575,1195717,1188686,1181732,1174821,1167855,1160660,1153363,1145952,1138315,1130548,1122439,1114296,1106000,1097553,1089103,1080467,1071728,1062907,1053912,1044712,1035419,1025955,1016616,1007356,998205,988996,979775,970442,960964,951336,33000
New Hampshire,5,1315280,1324700,1333634,1342411,1350903,1359381,1367505,1375475,1383853,1392570,1401586,1410916,1420404,1430038,1439920,1449984,1460205,1470506,1480768,1491094,1501540,1511963,1522395,1532910,1543458,1554032,1564733,1575480,1586362,1597263,1608267,1619328,1630494,1641579,1652599,1663786,1675286,1686883,1697768,1708655,1719886,1731139,1742582,1753985,1765436,1776900,1788248,1799914,1811565,1823367,1835474,1847534,1859890,1872661,1885679,1898987,1912478,1926617,1941125,1955980,1971052,1985972,2000935,2016407,2032312,2048489,2064480,2080602,2096689,2112556,2128391,2143685,2159077,2174404,2189591,2204924,2219983,2234978,2249916,2264624,2279043,2293230,2307266,2321634,2336238,2351082,2366023,2381255,2396589,2411996,2427435,33000
New Jersey,2,8789650,8790106,8788300,8785457,8780922,8776103,8769637,8761116,8752984,8745236,8737637,8729963,8722115,8714213,8706196,8697890,8689274,8680404,8670983,8661200,8650826,8639770,8628199,8616129,8603618,8590726,8577145,8562629,8547247,8531149,8514418,8496920,8479106,8460384,8440019,8420209,8400394,8380313,8357099,8334329,8312744,8290765,8269079,8247361,8225561,8203856,8181651,8159785,8138091,8116667,8095738,8074697,8054611,8035679,8017409,7999280,7981748,7966259,7951873,7938550,7925458,7911450,7898156,7887337,7877734,7869488,7859946,7851217,7842689,7833218,7823911,7812674,7802231,7792273,7781895,7772328,7762123,7752103,7742823,7733288,7723702,7713234,7703355,7693787,7684262,7676087,7668461,7661516,7653902,7645845,7637370,34000
New Jersey,3,8789650,8789259,8787006,8783140,8777228,8770703,8762211,8750211,8735869,8719214,8699993,8678064,8654145,8628279,8600423,8570452,8538352,8504850,8469795,8433260,8395065,8355130,8313588,8270488,8225864,8179742,8131957,8082663,8031984,7979999,7926773,7872265,7816846,7760232,7702172,7643736,7584667,7525293,7464201,7403279,7342920,7282366,7222086,7161865,7101825,7042010,6982161,6922518,6863003,6803676,6744630,6685558,6626925,6568834,6510963,6452946,6395037,6338068,6281431,6225112,6168638,6111406,6054238,5998149,5942410,5887110,5830812,5774753,5718622,5661828,5604981,5546948,5489282,5431847,5374114,5316821,5259161,5201590,5144448,5087132,5029832,4972048,4914614,4857282,4799894,4743307,4687045,4630986,4574312,4517218,4459762,34000
New Jersey,5,8789650,8790866,8787619,8781915,8773166,8762819,8749501,8734339,8720862,8709173,8699045,8690303,8682038,8674409,8667499,8661178,8655582,8650460,8645610,8641396,8637593,8634201,8631589,8630012,8629552,8630343,8631901,8634593,8638353,8643380,8649657,8656948,8665608,8674772,8683447,8694477,8707142,8720622,8730952,8742834,8757219,8772147,8788413,8805511,8823412,8842318,8861373,8881733,8903129,8925655,8949712,8974421,9001158,9030161,9060859,9092715,9126196,9163198,9202473,9243877,9286444,9328651,9372228,9419258,9468345,9519481,9569618,9621079,9672867,9723887,9775327,9824534,9874843,9925802,9976418,10028163,10079266,10130512,10182402,10233926,10285081,10335169,10385650,10437105,10489198,10542749,10597151,10653231,10709774,10766835,10824346,34000
New Mexico,2,2056780,2077276,2097099,2116607,2135488,2154144,2172132,2189416,2206794,2224196,2241630,2259055,2276498,2293791,2311072,2328320,2345576,2362803,2379837,2396779,2413575,2430102,2446456,2462595,2478646,2494486,2510072,2525525,2540746,2555641,2570360,2584874,2599207,2613345,2627252,2641242,2655219,2669329,2682741,2696081,2709511,2722902,2736329,2749668,2762756,2775838,2788750,2801760,2814834,2827825,2840839,2853528,2866240,2879027,2891788,2904627,2917299,2930374,2943604,2956681,2969460,2981723,2993910,3006233,3018559,3030973,3043054,3055064,3066783,3078246,3089556,3100062,3110537,3120866,3130971,3141088,3150767,3160496,3170208,3179712,3188930,3197629,3206328,3215082,3223796,3232700,3241732,3250593,3259121,3267255,3274901,35000
New Mexico,3,2056780,2077130,2096821,2116044,2134501,2152610,2169923,2185931,2201017,2215126,2228254,2240366,2251757,2262312,2272134,2281210,2289579,2297479,2304798,2311607,2317861,2323459,2328490,2332934,2336871,2340233,2343002,2345351,2347222,2348552,2349406,2349783,2349699,2349144,2348126,2346797,2345102,2343285,2340874,2338249,2335487,2332524,2329422,2326117,2322521,2318801,2314853,2310754,2306488,2301960,2297216,2292070,2286690,2281090,2275223,2269130,2262647,2256123,2249395,2242293,2234726,2226593,2218125,2209449,2200507,2191352,2181775,2171915,2161664,2151067,2140194,2128675,2116985,2105051,2092849,2080515,2067780,2054965,2042024,2028848,2015402,2001520,1987549,1973499,1959307,1945145,1930968,1916541,1901785,1886663,1871121,35000
New Mexico,5,2056780,2077409,2097319,2116994,2136106,2155076,2173449,2191706,2210979,2231212,2252402,2274527,2297277,2320457,2344240,2368588,2393551,2418928,2444521,2470451,2496674,2523022,2549634,2576472,2603702,2631176,2658850,2686813,2714967,2743201,2771712,2800467,2829458,2858692,2888133,2918203,2948815,2979919,3010463,3041254,3072491,3103936,3135686,3167581,3199464,3231585,3263736,3296249,3329080,3362040,3395304,3428430,3461866,3495683,3529779,3564240,3598884,3634372,3670358,3706564,3742807,3778725,3814755,3851244,3888044,3925173,3962090,3999158,4036062,4072770,4109482,4145399,4181452,4217533,4253510,4289724,4325645,4361619,4397660,4433540,4469167,4504381,4539603,4575083,4610717,4646631,4682788,4719261,4755828,4792453,4829063,35000
New York,2,19376040,19416152,19451012,19483421,19511690,19538532,19560801,19577622,19594490,19610853,19626711,19641619,19655676,19668740,19680562,19690907,19699822,19707207,19712819,19716750,19719464,19720717,19720779,19719561,19717122,19713595,19708258,19701195,19692577,19681874,19669793,19656027,19641550,19625463,19606511,19588460,19570084,19551516,19526809,19502032,19478251,19453709,19430088,19406312,19382092,19358125,19332177,19307508,19283178,19258599,19235900,19211684,19189711,19169400,19149726,19131067,19111878,19097522,19085403,19073798,19062887,19048313,19035769,19027551,19021569,19017486,19009590,19003537,18995796,18986591,18976902,18961570,18947984,18934353,18919414,18905368,18888976,18873399,18858341,18843016,18826181,18806570,18787507,18772239,18758861,18747639,18737406,18728048,18718244,18707355,18695278,36000
New York,3,19376040,19414410,19448270,19478494,19503677,19526609,19544415,19553102,19555318,19550613,19539035,19520171,19496139,19466730,19431927,19391474,19345370,19295388,19241343,19183284,19121416,19055626,18986252,18913228,18836607,18756463,18672432,18585259,18494972,18401315,18304735,18205087,18103109,17998355,17890437,17781186,17670015,17558099,17442433,17326120,17209952,17092935,16976302,16859381,16742319,16625498,16507743,16390255,16272551,16154376,16036756,15917824,15799406,15681163,15562485,15443399,15323001,15204416,15086011,14966807,14846969,14723911,14600847,14479208,14357697,14236218,14111587,13987246,13861309,13734019,13605959,13474204,13343129,13211779,13079467,12947519,12814032,12680935,12548085,12414973,12280872,12145050,12009442,11876110,11743786,11612578,11481823,11350964,11219306,11086467,10952460,36000
New York,5,19376040,19417723,19450088,19477531,19498209,19514905,19524439,19529348,19537726,19549082,19563536,19580670,19598665,19617331,19636591,19656327,19676553,19696488,19715893,19735010,19754449,19774000,19794452,19815663,19837942,19861548,19885666,19912334,19941769,19973269,20007867,20045134,20085909,20129063,20172840,20222112,20275312,20331090,20381812,20435150,20492480,20551435,20613883,20678349,20744479,20813128,20881453,20953326,21027601,21103713,21184067,21264767,21350314,21440081,21532994,21629366,21727743,21834184,21945568,22059993,22177483,22292980,22412004,22537478,22667057,22800317,22930977,23064727,23197810,23330082,23462872,23590388,23720539,23851582,23982129,24114698,24245701,24377796,24510928,24643901,24775657,24905226,25035582,25169931,25306683,25446154,25587421,25731948,25878071,26025365,26173599,36000
North Carolina,2,9538040,9659866,9779395,9898401,10015575,10132395,10246832,10358682,10471001,10583471,10695982,10808199,10919713,11030439,11140445,11249302,11357388,11464269,11569845,11673920,11776633,11877740,11977124,12074713,12170485,12264817,12357293,12447784,12536561,12623312,12708453,12791999,12874281,12954848,13033608,13111790,13189559,13266632,13339659,13412196,13484857,13556868,13628470,13699021,13768762,13837644,13905211,13972757,14039486,14105052,14170497,14234745,14299082,14362796,14426172,14489165,14551298,14614956,14678322,14741377,14803288,14862485,14920713,14980424,15040803,15101681,15160499,15219808,15277614,15333378,15388934,15440769,15492620,15543482,15592904,15642606,15690394,15736766,15782360,15826457,15868225,15907445,15946147,15986164,16026853,16068196,16109290,16149796,16188446,16224705,16258789,37000
North Carolina,3,9538040,9658810,9777222,9893955,10008010,10120788,10230421,10334257,10433693,10528373,10618091,10702492,10782692,10858504,10929939,10996656,11058877,11117572,11172661,11224040,11271672,11315446,11355359,11391364,11423482,11451955,11476608,11497873,11515936,11530569,11542063,11550483,11556078,11558758,11558422,11555769,11550830,11544202,11534174,11522730,11510098,11495911,11480471,11463576,11445249,11425647,11404437,11381944,11357787,11331706,11304329,11275057,11244472,11212125,11178131,11142562,11105007,11066764,11026899,10985404,10941805,10895262,10846748,10797597,10747356,10695977,10642177,10587477,10530820,10471970,10412102,10349315,10285654,10220618,10154041,10086866,10017998,9947662,9876223,9803358,9728607,9651892,9574403,9497104,9419649,9341995,9263650,9184203,9103032,9019847,8934861,37000
North Carolina,5,9538040,9660759,9782698,9906392,10030383,10155952,10280959,10407551,10540326,10678905,10823192,10972813,11125653,11281616,11440821,11602644,11767480,11934135,12102373,12271992,12443124,12615424,12788958,12963503,13139022,13315984,13493816,13670813,13847479,14023486,14199385,14375321,14551520,14727511,14903083,15080080,15258696,15437604,15611814,15786498,15962629,16138979,16315952,16492688,16669422,16846179,17022214,17199398,17376744,17553793,17732252,17910462,18090449,18271501,18453814,18637463,18821806,19010337,19200583,19392313,19584491,19774483,19964329,20157432,20352651,20549673,20744671,20940843,21135563,21327978,21520485,21708179,21896408,22084152,22270548,22458023,22643518,22827659,23011152,23192896,23371999,23548063,23723527,23900953,24079486,24259333,24439729,24622099,24804703,24987169,25169531,37000
North Dakota,2,672310,683749,694886,705912,716769,727519,737950,748005,758031,768016,777968,787888,797839,807740,817631,827472,837268,846982,856626,866238,875816,885346,894769,904047,913218,922312,931348,940263,949081,957792,966396,974842,983184,991462,999602,1007688,1015738,1023764,1031509,1039138,1046727,1054214,1061671,1068970,1076174,1083435,1090552,1097655,1104711,1111775,1118830,1125793,1132807,1139831,1146783,1153756,1160768,1167836,1174923,1181903,1188756,1195481,1202007,1208540,1215110,1221654,1227959,1234148,1240170,1246079,1251843,1257274,1262668,1267895,1273011,1278120,1283151,1288051,1292833,1297502,1302039,1306369,1310656,1315044,1319492,1323908,1328332,1332700,1336913,1340935,1344833,38000
North Dakota,3,672310,683678,694720,705566,716164,726589,736635,746178,755415,764336,772942,781235,789304,797079,804580,811786,818698,825395,831889,838209,844338,850275,855976,861413,866600,871569,876337,880845,885109,889107,892832,896240,899373,902258,904844,907195,909323,911307,913021,914557,915965,917224,918384,919378,920247,921073,921744,922317,922771,923139,923397,923508,923537,923453,923209,922851,922381,921808,921117,920224,919130,917848,916327,914676,912926,911048,908927,906634,904152,901528,898743,895710,892592,889317,885930,882487,878961,875299,871514,867625,863617,859448,855223,851038,846856,842608,838325,833950,829428,824730,819920,38000
North Dakota,5,672310,683809,695219,706757,718331,729978,741450,752751,764350,776224,788393,800843,813583,826524,839707,853056,866548,880097,893693,907366,921091,934838,948521,962076,975559,989035,1002547,1015989,1029417,1042843,1056299,1069727,1083223,1096859,1110548,1124383,1138404,1152510,1166314,1180074,1193903,1207704,1221545,1235287,1249001,1262863,1276654,1290556,1304536,1318611,1332836,1347066,1361483,1376072,1390755,1405622,1420703,1436056,1451593,1467192,1482784,1498314,1513745,1529367,1545155,1561052,1576786,1592543,1608239,1623872,1639452,1654684,1669982,1685219,1700402,1715696,1730954,1746209,1761464,1776657,1791766,1806700,1821617,1836665,1851814,1867063,1882405,1897877,1913365,1928862,1944379,38000
Ohio,2,11523780,11568663,11610962,11652710,11692746,11733093,11771710,11807855,11845070,11883046,11921708,11960615,11999493,12038026,12076583,12114701,12152564,12190068,12226817,12262827,12298150,12332595,12366097,12398851,12430861,12462242,12492213,12521202,12549125,12575802,12601630,12627072,12652080,12675960,12698817,12722726,12747103,12771643,12792025,12812755,12834363,12855930,12878327,12900164,12922258,12944415,12965649,12987643,13009546,13031399,13054658,13077619,13101543,13126120,13151815,13177644,13204219,13233305,13262776,13292634,13322048,13349854,13376863,13405952,13437063,13469239,13499799,13530442,13560394,13588703,13616731,13641490,13666607,13691654,13716204,13740646,13763331,13785680,13807901,13828856,13847978,13865212,13881741,13899033,13916784,13935814,13955093,13974353,13992387,14008671,14023665,39000
