# File: eia_operators_nerc_region_mapping.csv
# Title: Convert EIA Operator ID to NERC region
# Units: NA
# Column types: cc
# ----------
Operator ID,NERC Region
39878,NPCC
56488,TRE
54745,SERC
23632,SERC
22091,WECC
623,SERC
623,FRCC
49966,RFC
6091,TRE
56575,WECC
55711,WECC
10510,MRO
11556,WECC
1746,NPCC
56150,RFC
11216,WECC
55877,RFC
1991,MRO
1924,SPP
54784,NPCC
34612,NPCC
10203,WECC
10384,RFC
12449,WECC
55850,WECC
20541,NPCC
450,WECC
56174,NPCC
16498,NPCC
21581,SERC
10849,NPCC
55753,NPCC
3837,SERC
5226,NPCC
34688,NPCC
34688,RFC
16732,WECC
12594,SERC
6541,TRE
2179,NPCC
2016,NPCC
15726,SERC
15726,FRCC
291,NPCC
914,SERC
379,TRE
23037,NPCC
2770,WECC
135,SERC
56596,WECC
2674,WECC
5670,RFC
8286,HICC
50003,SERC
4580,SERC
56467,NPCC
7166,SERC
50128,FRCC
50129,SERC
5232,NPCC
21025,NPCC
3085,NPCC
55863,SERC
20541,RFC
49899,WECC
19091,SERC
56466,WECC
56304,TRE
991,SERC
353,WECC
2884,RFC
473,NPCC
542,RFC
528,NPCC
56888,WECC
2565,WECC
9413,MRO
6789,RFC
3953,WECC
156,TRE
21,SPP
56730,FRCC
177,HICC
42,NPCC
142,RFC
35,RFC
55307,WECC
49968,WECC
6088,SERC
11704,RFC
49911,NPCC
7475,RFC
7136,SERC
56448,NPCC
17725,WECC
16630,WECC
54760,WECC
9570,RFC
16909,NPCC
11741,NPCC
56838,NPCC
3103,SERC
10456,RFC
16579,WECC
6830,WECC
8353,WECC
13842,WECC
11495,WECC
3775,TRE
12949,RFC
12492,RFC
570,RFC
12869,WECC
56516,RFC
10575,NPCC
1773,WECC
56120,WECC
56402,NPCC
15986,WECC
16061,WECC
16002,WECC
16077,WECC
5533,WECC
56866,WECC
10363,WECC
4217,WECC
782,SERC
5543,SERC
50006,TRE
50006,SERC
782,RFC
14685,SERC
56516,NPCC
5530,RFC
3490,WECC
42806,WECC
745,WECC
5906,WECC
5811,NPCC
82,RFC
17578,WECC
3836,RFC
11427,NPCC
11426,NPCC
54806,WECC
55989,WECC
56084,NPCC
55840,NPCC
56099,WECC
49997,NPCC
3807,MRO
5050,WECC
8736,NPCC
3106,MRO
772,MRO
772,SERC
7,SERC
1745,WECC
56214,RFC
19258,NPCC
4397,WECC
12239,WECC
16997,WECC
12258,NPCC
3473,RFC
19740,WECC
15114,NPCC
3890,RFC
55698,RFC
49735,WECC
6426,TRE
16064,SERC
26599,NPCC
19774,NPCC
22219,NPCC
4434,RFC
30347,WECC
13833,RFC
16544,NPCC
14254,TRE
55738,NPCC
56305,WECC
6036,NPCC
15941,TRE
15380,RFC
16625,WECC
54680,WECC
22142,WECC
17145,SPP
18587,WECC
17445,FRCC
34012,RFC
5677,RFC
23955,NPCC
21223,MRO
24010,WECC
16990,WECC
34689,NPCC
19148,RFC
18919,NPCC
22809,SERC
18461,WECC
12307,TRE
13442,NPCC
19491,WECC
54700,TRE
22669,WECC
19537,TRE
4208,WECC
20148,NPCC
38001,NPCC
54777,TRE
22079,WECC
54881,RFC
3852,WECC
18390,WECC
17460,NPCC
56201,TRE
27211,SPP
27131,SERC
16713,WECC
15320,WECC
19450,TRE
19433,RFC
5352,SERC
39066,TRE
3663,WECC
20919,RFC
13914,SPP
1569,WECC
56840,SERC
56842,NPCC
56844,NPCC
56843,SERC
56841,WECC
18410,WECC
20492,SERC
20548,WECC
20511,SERC
55903,SERC
55997,MRO
56289,WECC
56164,SPP
1058,WECC
56216,SERC
55807,NPCC
19351,NPCC
29040,WECC
27762,WECC
15064,NPCC
21128,RFC
867,WECC
13353,WECC
22045,WECC
15824,NPCC
22614,WECC
18760,TRE
16191,NPCC
22803,WECC
22635,WECC
16583,WECC
15526,RFC
27378,TRE
9303,NPCC
23815,SERC
9384,SERC
56208,RFC
9401,SERC
56187,RFC
56078,MRO
55771,SERC
13945,RFC
15787,WECC
6529,WECC
13504,SERC
56125,NPCC
17191,WECC
14465,SERC
20707,WECC
1976,NPCC
21737,NPCC
22174,RFC
4735,NPCC
50097,RFC
49923,RFC
11601,NPCC
16929,NPCC
24457,NPCC
19946,WECC
14362,SERC
20541,WECC
54736,WECC
17139,TRE
40430,RFC
19533,SPP
56389,ASCC
14762,FRCC
14539,RFC
14669,NPCC
24979,NPCC
3283,RFC
55970,RFC
26287,WECC
15286,WECC
36055,NPCC
14293,RFC
13389,MRO
7019,HICC
21690,RFC
15237,SERC
8530,WECC
24793,NPCC
12850,WECC
13532,NPCC
17330,SERC
14243,WECC
56889,NPCC
19564,RFC
21508,NPCC
24900,FRCC
13875,RFC
30076,WECC
42892,WECC
20032,WECC
7685,NPCC
55846,RFC
20791,WECC
14952,WECC
15173,SERC
22199,ASCC
25438,WECC
5033,MRO
16294,WECC
14310,RFC
30002,SERC
19560,WECC
54837,TRE
16190,NPCC
34672,SERC
10273,RFC
19363,RFC
21995,MRO
18436,NPCC
21086,WECC
19984,WECC
13487,NPCC
19588,RFC
17976,RFC
18194,WECC
18415,RFC
18419,RFC
16719,RFC
42662,RFC
16721,NPCC
9245,NPCC
9244,NPCC
9243,NPCC
15400,RFC
9263,NPCC
7857,RFC
15394,RFC
15375,WECC
20542,SERC
2522,FRCC
55876,SERC
470,NPCC
20558,FRCC
5065,TRE
14369,MRO
7167,RFC
